Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
6gpo_macro_cmp,-5.11,-6.0,-0.91,0.89,-0.91,2.47
6gpo_macro_cmp,-4.58,-5.48,-1.53,0.89,-1.53,2.47
6gpo_macro_cmp,-4.38,-5.27,-1.46,0.89,-1.46,2.47
6gpo_macro_cmp,-4.54,-5.43,-1.51,0.89,-1.51,2.47
6gpo_macro_cmp,-4.48,-5.37,-1.56,0.89,-1.56,2.47
6gpo_macro_cmp,-4.38,-5.28,-1.53,0.89,-1.53,2.48
6gpo_macro_cmp,-4.45,-5.34,-1.53,0.89,-1.53,2.48
6gpo_macro_cmp,-4.6,-5.5,-1.36,0.89,-1.36,2.48
6gpo_macro_cmp,-4.59,-5.49,-1.37,0.89,-1.37,2.48
6gpo_macro_cmp,-4.53,-5.42,-1.55,0.89,-1.55,2.49
6gpo_macro_cmp,-4.46,-5.36,-1.5,0.89,-1.5,2.49
6gpo_macro_cmp,-4.46,-5.35,-1.52,0.89,-1.52,2.5
6gpo_macro_cmp,-4.64,-5.53,-1.57,0.89,-1.57,2.5
6gpo_macro_cmp,-4.46,-5.35,-1.54,0.89,-1.54,2.51
6gpo_macro_cmp,-4.35,-5.25,-1.45,0.89,-1.45,2.51
6gpo_macro_cmp,-4.53,-5.43,-1.31,0.89,-1.31,2.51
6gpo_macro_cmp,-4.51,-5.4,-1.54,0.89,-1.54,2.52
6gpo_macro_cmp,-4.22,-5.12,-1.51,0.89,-1.51,2.52
6gpo_macro_cmp,-4.4,-5.29,-1.4,0.89,-1.4,2.53
6gpo_macro_cmp,-4.49,-5.39,-1.14,0.89,-1.14,2.53
6gpo_macro_cmp,-4.49,-5.38,-1.53,0.89,-1.53,2.53
6gpo_macro_cmp,-4.25,-5.15,-1.31,0.89,-1.31,2.54
6gpo_macro_cmp,-4.35,-5.25,-1.58,0.89,-1.58,2.54
6gpo_macro_cmp,-4.37,-5.27,-1.31,0.89,-1.31,2.55
6gpo_macro_cmp,-4.35,-5.24,-1.54,0.89,-1.54,2.55
6gpo_macro_cmp,-4.16,-5.05,-1.54,0.89,-1.54,2.55
6gpo_macro_cmp,-4.33,-5.23,-1.56,0.89,-1.56,2.56
6gpo_macro_cmp,-4.24,-5.13,-1.39,0.89,-1.39,2.56
6gpo_macro_cmp,-4.25,-5.15,-1.59,0.89,-1.59,2.56
6gpo_macro_cmp,-4.33,-5.22,-1.55,0.89,-1.55,2.57
6gpo_macro_cmp,-4.24,-5.13,-1.5,0.89,-1.5,2.57
6gpo_macro_cmp,-4.38,-5.27,-1.55,0.89,-1.55,2.57
6gpo_macro_cmp,-4.28,-5.17,-1.45,0.89,-1.45,2.58
6gpo_macro_cmp,-4.45,-5.35,-1.55,0.89,-1.55,2.58
6gpo_macro_cmp,-4.45,-5.34,-1.53,0.89,-1.53,2.59
6gpo_macro_cmp,-4.52,-5.42,-1.56,0.89,-1.56,2.59
6gpo_macro_cmp,-4.7,-5.59,-1.58,0.89,-1.58,2.59
6gpo_macro_cmp,-4.4,-5.29,-1.39,0.89,-1.39,2.62
6gpo_macro_cmp,-4.67,-5.57,-1.58,0.89,-1.58,2.63
6gpo_macro_cmp,-4.44,-5.34,-1.31,0.89,-1.31,2.63
6gpo_macro_cmp,-4.39,-5.28,-1.38,0.89,-1.38,2.64
6gpo_macro_cmp,-3.64,-4.53,-1.54,0.89,-1.54,2.64
6gpo_macro_cmp,-4.32,-5.21,-1.54,0.89,-1.54,2.67
6gpo_macro_cmp,-4.32,-5.22,-1.43,0.89,-1.43,2.67
6gpo_macro_cmp,-4.78,-5.67,-0.93,0.89,-0.93,2.68
6gpo_macro_cmp,-4.29,-5.19,-1.47,0.89,-1.47,2.69
6gpo_macro_cmp,-4.39,-5.28,-1.56,0.89,-1.56,2.71
6gpo_macro_cmp,-4.51,-5.41,-1.48,0.89,-1.48,2.71
6gpo_macro_cmp,-4.5,-5.39,-1.55,0.89,-1.55,2.73
6gpo_macro_cmp,-3.59,-4.48,-1.48,0.89,-1.48,2.74
6gpo_macro_cmp,-4.79,-5.69,-1.27,0.89,-1.27,2.75
6gpo_macro_cmp,-4.66,-5.55,-1.6,0.89,-1.6,2.8
6gpo_macro_cmp,-3.18,-4.08,-1.59,0.89,-1.59,2.83
6gpo_macro_cmp,-5.22,-6.11,-0.98,0.89,-0.98,2.88
6gpo_macro_cmp,-5.23,-6.12,-0.91,0.89,-0.91,3.03
6gpo_macro_cmp,-5.34,-6.24,-0.91,0.89,-0.91,3.12
6gpo_macro_cmp,-5.41,-6.31,-0.92,0.89,-0.92,3.12
6gpo_macro_cmp,-5.31,-6.2,-0.91,0.89,-0.91,3.15
6gpo_macro_cmp,-5.29,-6.18,-0.89,0.89,-0.89,3.17
6gpo_macro_cmp,-5.45,-6.35,-0.93,0.89,-0.93,3.19
6gpo_macro_cmp,-5.46,-6.35,-0.94,0.89,-0.94,3.19
6gpo_macro_cmp,-4.93,-5.83,-0.37,0.89,-0.37,3.23
6gpo_macro_cmp,-5.46,-6.36,-0.94,0.89,-0.94,3.25
6gpo_macro_cmp,-5.37,-6.27,-0.91,0.89,-0.91,3.25
6gpo_macro_cmp,-5.49,-6.38,-0.77,0.89,-0.77,3.25
6gpo_macro_cmp,-4.91,-5.81,-0.28,0.89,-0.28,3.25
6gpo_macro_cmp,-5.11,-6.01,-0.28,0.89,-0.28,3.25
6gpo_macro_cmp,-5.07,-5.97,-0.28,0.89,-0.28,3.26
6gpo_macro_cmp,-5.15,-6.04,-0.29,0.89,-0.29,3.26
6gpo_macro_cmp,-5.13,-6.03,-0.31,0.89,-0.31,3.26
6gpo_macro_cmp,-5.12,-6.02,-0.3,0.89,-0.3,3.26
6gpo_macro_cmp,-5.14,-6.04,-0.3,0.89,-0.3,3.26
6gpo_macro_cmp,-5.05,-5.95,-0.33,0.89,-0.33,3.26
6gpo_macro_cmp,-5.14,-6.03,-0.3,0.89,-0.3,3.26
6gpo_macro_cmp,-5.17,-6.06,-0.3,0.89,-0.3,3.27
6gpo_macro_cmp,-5.38,-6.27,-0.93,0.89,-0.93,3.27
6gpo_macro_cmp,-5.14,-6.03,-0.28,0.89,-0.28,3.27
6gpo_macro_cmp,-5.17,-6.06,-0.28,0.89,-0.28,3.27
6gpo_macro_cmp,-5.24,-6.13,-1.54,0.89,-1.54,3.31
6gpo_macro_cmp,-5.42,-6.31,-1.59,0.89,-1.59,3.34
6gpo_macro_cmp,-5.44,-6.33,-1.54,0.89,-1.54,3.4
6gpo_macro_cmp,-5.25,-6.15,-1.58,0.89,-1.58,3.46
6gpo_macro_cmp,-5.19,-6.08,-1.53,0.89,-1.53,3.48
6gpo_macro_cmp,-5.19,-6.08,-1.4,0.89,-1.4,3.51
6gpo_macro_cmp,-4.91,-5.8,-1.29,0.89,-1.29,3.52
6gpo_macro_cmp,-5.77,-6.66,-1.53,0.89,-1.53,3.54
6gpo_macro_cmp,-5.58,-6.47,-1.34,0.89,-1.34,3.6
6gpo_macro_cmp,-4.03,-4.93,-1.5,0.89,-1.5,3.89
6gpo_macro_cmp,-4.1,-4.99,-1.44,0.89,-1.44,4.37
6gpo_macro_cmp,-3.5,-4.39,-1.53,0.89,-1.53,4.42
6gpo_macro_cmp,-4.51,-5.41,-0.98,0.89,-0.98,4.58
6gpo_macro_cmp,-4.44,-5.34,-0.98,0.89,-0.98,4.59
6gpo_macro_cmp,-3.4,-4.29,-1.53,0.89,-1.53,4.61
6gpo_macro_cmp,-4.85,-5.74,-0.96,0.89,-0.96,4.61
6gpo_macro_cmp,-4.69,-5.58,-0.95,0.89,-0.95,4.61
6gpo_macro_cmp,-4.72,-5.62,-0.97,0.89,-0.97,4.62
6gpo_macro_cmp,-3.77,-4.67,-1.49,0.89,-1.49,4.63
6gpo_macro_cmp,-4.84,-5.73,-0.94,0.89,-0.94,4.63
6gpo_macro_cmp,-4.99,-5.88,-0.96,0.89,-0.96,4.65
6gpo_macro_cmp,-4.82,-5.72,-0.97,0.89,-0.97,4.65
6gpo_macro_cmp,-4.94,-5.84,-0.94,0.89,-0.94,4.65
6gpo_macro_cmp,-5.01,-5.91,-0.89,0.89,-0.89,4.65
