Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.82,-8.4,0.11,3.58,0.11,2.28
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.49,-7.07,-1.47,3.58,-1.47,2.29
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.95,-6.53,-3.35,3.58,-3.35,2.36
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.72,-8.3,-1.98,3.58,-1.98,2.37
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.66,-9.24,0.41,3.58,0.41,2.4
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.85,-7.43,-1.61,3.58,-1.61,2.41
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.49,-8.07,-3.08,3.58,-3.08,2.43
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.97,-7.55,-2.48,3.58,-2.48,2.45
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.32,-7.9,-1.58,3.58,-1.58,2.46
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.49,-8.07,-1.51,3.58,-1.51,2.48
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.35,-7.93,-0.81,3.58,-0.81,2.49
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.48,-8.06,-1.07,3.58,-1.07,2.52
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.75,-5.33,-2.76,3.58,-2.76,2.61
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.23,-8.81,-0.47,3.58,-0.47,2.62
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.95,-8.53,0.49,3.58,0.49,2.63
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-6.18,-9.76,0.17,3.58,0.17,2.64
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.19,-5.77,-1.99,3.58,-1.99,2.69
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.18,-7.76,-1.57,3.58,-1.57,2.69
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.16,-8.74,-1.52,3.58,-1.52,2.69
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.15,-5.73,-2.84,3.58,-2.84,2.7
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.05,-6.63,-2.99,3.58,-2.99,2.7
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.66,-8.24,-2.97,3.58,-2.97,2.7
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.07,-6.65,-2.27,3.58,-2.27,2.73
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.65,-6.23,-1.22,3.58,-1.22,2.74
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.86,-6.43,-2.51,3.58,-2.51,2.76
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.55,-7.13,-0.89,3.58,-0.89,2.76
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.78,-8.36,-0.54,3.58,-0.54,2.77
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.02,-8.6,-1.19,3.58,-1.19,2.77
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.43,-9.01,-0.46,3.58,-0.46,2.77
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-0.89,-4.47,-3.18,3.58,-3.18,2.8
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.64,-7.22,-1.88,3.58,-1.88,2.8
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.46,-7.03,-3.11,3.58,-3.11,2.81
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.08,-6.66,-0.95,3.58,-0.95,2.83
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.57,-7.15,-1.08,3.58,-1.08,2.87
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.33,-7.91,-2.48,3.58,-2.48,2.9
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.22,-6.8,-1.83,3.58,-1.83,2.91
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.06,-6.64,-3.41,3.58,-3.41,2.95
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.18,-7.76,-1.13,3.58,-1.13,2.96
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.59,-7.17,-1.12,3.58,-1.12,2.98
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.32,-5.9,-2.73,3.58,-2.73,2.99
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.12,-8.7,-1.0,3.58,-1.0,2.99
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-7.03,-10.61,1.36,3.58,1.36,3.0
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.59,-7.17,-2.23,3.58,-2.23,3.05
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.85,-7.43,-1.59,3.58,-1.59,3.09
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-6.08,-9.66,-1.1,3.58,-1.1,3.13
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.99,-8.57,-0.3,3.58,-0.3,3.14
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.4,-5.98,-1.41,3.58,-1.41,3.15
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.89,-7.47,-1.43,3.58,-1.43,3.15
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.61,-8.19,-0.82,3.58,-0.82,3.17
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.83,-9.41,0.16,3.58,0.16,3.22
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.26,-6.84,-1.14,3.58,-1.14,3.23
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.31,-7.89,-2.15,3.58,-2.15,3.23
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.05,-8.63,-0.14,3.58,-0.14,3.23
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.42,-8.0,0.0,3.58,0.0,3.25
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.77,-8.35,0.89,3.58,0.89,3.27
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.85,-7.43,-1.49,3.58,-1.49,3.28
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.83,-8.41,0.29,3.58,0.29,3.29
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.46,-7.04,-0.76,3.58,-0.76,3.31
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.64,-8.22,-1.28,3.58,-1.28,3.31
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.56,-7.14,-0.51,3.58,-0.51,3.32
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.22,-7.8,-0.87,3.58,-0.87,3.32
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.06,-7.64,-1.1,3.58,-1.1,3.35
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.92,-7.5,-1.19,3.58,-1.19,3.37
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.48,-9.06,0.03,3.58,0.03,3.38
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.02,-8.6,0.21,3.58,0.21,3.39
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.09,-8.67,-0.92,3.58,-0.92,3.4
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.31,-5.89,-2.25,3.58,-2.25,3.41
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.39,-7.97,-1.74,3.58,-1.74,3.42
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.96,-8.54,-0.65,3.58,-0.65,3.42
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.94,-6.52,-1.68,3.58,-1.68,3.45
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.05,-7.63,-1.41,3.58,-1.41,3.48
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.94,-8.52,-0.54,3.58,-0.54,3.48
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.12,-8.7,-1.29,3.58,-1.29,3.49
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.13,-8.71,-0.55,3.58,-0.55,3.49
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-0.79,-4.37,-3.0,3.58,-3.0,3.52
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.42,-8.0,-0.09,3.58,-0.09,3.53
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.47,-8.05,-0.72,3.58,-0.72,3.53
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.68,-7.26,-2.94,3.58,-2.94,3.55
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.97,-7.55,-0.96,3.58,-0.96,3.55
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.19,-5.77,-2.13,3.58,-2.13,3.58
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.97,-8.55,0.06,3.58,0.06,3.58
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.72,-8.29,-1.07,3.58,-1.07,3.59
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.95,-7.53,-3.23,3.58,-3.23,3.62
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-6.25,-9.83,-0.74,3.58,-0.74,3.63
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.96,-7.54,-1.72,3.58,-1.72,3.66
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.91,-7.49,-0.59,3.58,-0.59,3.69
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.99,-7.57,-2.72,3.58,-2.72,3.7
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.5,-9.08,-1.57,3.58,-1.57,3.72
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.66,-8.24,-0.63,3.58,-0.63,3.75
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.71,-8.29,-0.48,3.58,-0.48,3.76
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.98,-6.56,-1.59,3.58,-1.59,3.77
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.65,-7.23,-0.41,3.58,-0.41,3.77
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.43,-5.01,-3.63,3.58,-3.63,3.79
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.21,-7.79,-2.25,3.58,-2.25,3.84
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.63,-8.21,-0.31,3.58,-0.31,3.84
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.95,-7.53,-0.27,3.58,-0.27,3.85
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.77,-6.35,-3.63,3.58,-3.63,3.86
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.21,-7.79,-0.36,3.58,-0.36,3.86
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.43,-7.01,-0.96,3.58,-0.96,3.87
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.69,-7.27,-0.49,3.58,-0.49,3.87
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.0,-8.58,-0.09,3.58,-0.09,3.89
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.54,-5.12,-3.35,3.58,-3.35,3.91
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.45,-8.03,-1.6,3.58,-1.6,3.91
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.34,-6.92,-1.45,3.58,-1.45,3.92
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.89,-8.47,0.23,3.58,0.23,3.92
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.83,-8.41,-1.89,3.58,-1.89,3.93
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.85,-8.43,-0.64,3.58,-0.64,3.93
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.71,-6.29,-1.86,3.58,-1.86,3.95
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.86,-8.44,-0.82,3.58,-0.82,3.97
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.34,-8.92,-1.55,3.58,-1.55,3.97
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.84,-8.42,-0.24,3.58,-0.24,3.98
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-6.81,-10.39,-0.98,3.58,-0.98,3.98
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.35,-7.93,-1.31,3.58,-1.31,3.99
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.08,-5.66,-1.51,3.58,-1.51,4.0
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.86,-5.44,-3.87,3.58,-3.87,4.01
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.27,-7.85,-0.82,3.58,-0.82,4.01
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.39,-6.97,-2.16,3.58,-2.16,4.02
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.97,-7.55,-1.13,3.58,-1.13,4.02
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.62,-5.2,-2.13,3.58,-2.13,4.03
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.45,-8.03,-1.76,3.58,-1.76,4.03
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.9,-8.48,-1.15,3.58,-1.15,4.04
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.26,-8.84,0.24,3.58,0.24,4.04
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.68,-7.26,-2.19,3.58,-2.19,4.05
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.36,-7.94,-0.91,3.58,-0.91,4.05
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.65,-7.23,-1.18,3.58,-1.18,4.06
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.25,-7.83,-1.28,3.58,-1.28,4.06
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.66,-8.24,-2.4,3.58,-2.4,4.06
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.81,-7.39,-1.46,3.58,-1.46,4.07
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.48,-5.06,-3.44,3.58,-3.44,4.08
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.2,-7.78,-2.13,3.58,-2.13,4.09
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.29,-8.87,0.16,3.58,0.16,4.09
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.55,-9.13,0.3,3.58,0.3,4.09
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.88,-5.46,-3.12,3.58,-3.12,4.1
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.15,-8.73,-0.32,3.58,-0.32,4.13
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-6.17,-9.75,-1.15,3.58,-1.15,4.13
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.18,-6.76,-2.24,3.58,-2.24,4.14
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.2,-8.78,-2.81,3.58,-2.81,4.15
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.65,-9.23,1.38,3.58,1.38,4.15
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.85,-8.43,-1.33,3.58,-1.33,4.16
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.97,-8.55,-1.65,3.58,-1.65,4.16
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.59,-5.17,-3.91,3.58,-3.91,4.17
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.88,-6.46,-3.9,3.58,-3.9,4.17
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.68,-7.26,-1.75,3.58,-1.75,4.17
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.15,-7.73,-0.57,3.58,-0.57,4.18
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.72,-8.3,-1.14,3.58,-1.14,4.18
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.01,-8.59,-1.85,3.58,-1.85,4.18
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.34,-7.92,-1.22,3.58,-1.22,4.19
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.82,-6.4,-1.55,3.58,-1.55,4.2
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.46,-9.04,-0.77,3.58,-0.77,4.2
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.03,-7.61,-1.46,3.58,-1.46,4.21
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.04,-7.62,0.01,3.58,0.01,4.21
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.29,-7.87,-3.15,3.58,-3.15,4.22
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.92,-7.5,-1.97,3.58,-1.97,4.24
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.13,-7.71,-0.19,3.58,-0.19,4.26
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.3,-7.88,-0.27,3.58,-0.27,4.26
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.61,-8.19,-1.58,3.58,-1.58,4.26
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.58,-9.16,0.22,3.58,0.22,4.26
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.66,-8.24,-0.84,3.58,-0.84,4.31
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.21,-4.79,-3.5,3.58,-3.5,4.32
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.61,-6.19,-2.21,3.58,-2.21,4.33
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.45,-7.03,-0.41,3.58,-0.41,4.35
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.59,-9.17,-0.05,3.58,-0.05,4.35
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.32,-6.9,-2.23,3.58,-2.23,4.36
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.13,-5.71,-1.78,3.58,-1.78,4.37
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.73,-6.31,-1.82,3.58,-1.82,4.37
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.1,-7.68,-3.28,3.58,-3.28,4.37
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.63,-8.21,-1.76,3.58,-1.76,4.37
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-1.49,-5.07,-3.23,3.58,-3.23,4.38
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.02,-8.6,-3.0,3.58,-3.0,4.38
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.45,-7.03,-3.78,3.58,-3.78,4.4
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.69,-7.27,-0.91,3.58,-0.91,4.4
