Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
6gp8_macro_apc,-3.63,-5.72,-3.73,2.09,-3.73,5.39
6gp8_macro_apc,-4.01,-6.09,-3.26,2.09,-3.26,5.42
6gp8_macro_apc,-3.96,-6.04,-2.87,2.09,-2.87,5.48
6gp8_macro_apc,-3.61,-5.7,-3.32,2.09,-3.32,5.54
6gp8_macro_apc,-3.55,-5.64,-3.52,2.09,-3.52,5.58
6gp8_macro_apc,-3.56,-5.65,-3.34,2.09,-3.34,5.61
6gp8_macro_apc,-4.71,-6.8,-1.82,2.09,-1.82,5.64
6gp8_macro_apc,-4.27,-6.36,-3.57,2.09,-3.57,5.64
6gp8_macro_apc,-3.79,-5.88,-2.47,2.09,-2.47,5.66
6gp8_macro_apc,-4.44,-6.53,-2.73,2.09,-2.73,5.74
6gp8_macro_apc,-3.6,-5.69,-3.17,2.09,-3.17,5.76
6gp8_macro_apc,-6.18,-8.26,-1.8,2.09,-1.8,5.85
6gp8_macro_apc,-4.64,-6.73,-4.06,2.09,-4.06,5.94
6gp8_macro_apc,-2.7,-4.79,-3.53,2.09,-3.53,5.97
6gp8_macro_apc,-5.92,-8.01,-1.47,2.09,-1.47,5.97
6gp8_macro_apc,-4.54,-6.63,-2.93,2.09,-2.93,5.97
6gp8_macro_apc,-5.89,-7.98,-1.62,2.09,-1.62,6.11
6gp8_macro_apc,-4.22,-6.31,-3.58,2.09,-3.58,6.15
6gp8_macro_apc,-2.95,-5.04,-2.85,2.09,-2.85,6.19
6gp8_macro_apc,-3.25,-5.34,-3.63,2.09,-3.63,6.3
